DATE_;A1;PRICE1(BID);PRICE2(ASK);PRICE3(BIDðåçåðâ);PRICE4(ASKðåçåðâ);PRICE5(PriceIndex)
15.05.2017;XS1494462903;0,0822;0,0922;;;
12.05.2017;XS1494462903;0,082;0,092;;;
11.05.2017;XS1494462903;0,0845;0,0945;;;
10.05.2017;XS1494462903;0,0878;0,0978;;;
09.05.2017;XS1494462903;0,0884;0,0984;;;
08.05.2017;XS1494462903;0,0853;0,0953;;;
05.05.2017;XS1494462903;0,0845;0,0945;;;
04.05.2017;XS1494462903;0,0838;0,0938;;;
03.05.2017;XS1494462903;0,0827;0,0927;;;
02.05.2017;XS1494462903;0,0812;0,0912;;;
01.05.2017;XS1494462903;0,077;0,087;;;
28.04.2017;XS1494462903;0,077;0,087;;;
27.04.2017;XS1494462903;0,0761;0,0861;;;
26.04.2017;XS1494462903;0,0823;0,0923;;;
25.04.2017;XS1494462903;0,081;0,091;;;
24.04.2017;XS1494462903;0,0765;0,0865;;;
21.04.2017;XS1494462903;0,0743;0,0843;;;
20.04.2017;XS1494462903;0,0738;0,0838;;;
19.04.2017;XS1494462903;0,0726;0,0826;;;
18.04.2017;XS1494462903;0,0685;0,0785;;;
17.04.2017;XS1494462903;0,0675;0,0775;;;
14.04.2017;XS1494462903;0,0675;0,0775;;;
13.04.2017;XS1494462903;0,0675;0,0775;;;
12.04.2017;XS1494462903;0,0728;0,0828;;;
11.04.2017;XS1494462903;0,0695;0,0795;;;
10.04.2017;XS1494462903;0,0701;0,0801;;;
07.04.2017;XS1494462903;0,0701;0,0801;;;
06.04.2017;XS1494462903;0,0707;0,0807;;;
05.04.2017;XS1494462903;0,0727;0,0827;;;
04.04.2017;XS1494462903;0,0716;0,0816;;;
03.04.2017;XS1494462903;0,0722;0,0822;;;
31.03.2017;XS1494462903;0,0737;0,0837;;;
30.03.2017;XS1494462903;0,0739;0,0839;;;
29.03.2017;XS1494462903;0,0722;0,0822;;;
28.03.2017;XS1494462903;0,0724;0,0824;;;
27.03.2017;XS1494462903;0,0719;0,0819;;;
24.03.2017;XS1494462903;0,0748;0,0848;;;
23.03.2017;XS1494462903;0,074;0,084;;;
22.03.2017;XS1494462903;0,0718;0,0818;;;
21.03.2017;XS1494462903;0,0739;0,0839;;;
20.03.2017;XS1494462903;0,077;0,087;;;
17.03.2017;XS1494462903;0,0763;0,0863;;;
16.03.2017;XS1494462903;0,077;0,087;;;
15.03.2017;XS1494462903;0,0757;0,0857;;;
14.03.2017;XS1494462903;0,0748;0,0848;;;
13.03.2017;XS1494462903;0,0755;0,0855;;;
10.03.2017;XS1494462903;0,076;0,086;;;
09.03.2017;XS1494462903;0,0765;0,0865;;;
08.03.2017;XS1494462903;0,0757;0,0857;;;
07.03.2017;XS1494462903;0,0762;0,0862;;;
06.03.2017;XS1494462903;0,0767;0,0867;;;
03.03.2017;XS1494462903;0,0804;0,0904;;;
02.03.2017;XS1494462903;0,0808;0,0908;;;
01.03.2017;XS1494462903;0,0819;0,0919;;;
28.02.2017;XS1494462903;0,079;0,089;;;
27.02.2017;XS1494462903;0,0787;0,0887;;;
24.02.2017;XS1494462903;0,0787;0,0887;;;
