Issuer;ISIN;Coupon
Credit Suisse;XS1494462903;0.0401
Credit Suisse;XS1514686911;0.03825
Credit Suisse;XS1514655288;0.038
Citi Bank;XS1431278180;0.0372
Credit Suisse;XS1514597571;0.03785
Citi Bank;XS1431286282;0.0341
Credit Suisse;XS1532591788;0.0375
Citi Bank;XS1431274601;0.0145
Citi Bank;XS1431276994;0.0367
Citi Bank;XS1431276648;0.0158
Credit Suisse;XS1552744846;0.0367
Credit Suisse;XS1552745736;0.0157
Citi Bank;XS1431271763;0.0352
COMMERZBANK_BGC;XS1567448912;0.039
COMMERZBANK_BGC;XS1567448755;0.015
COMMERZBANK_BGC;XS1575499527;0.037
COMMERZBANK_BGC;XS1575508376;0.015
Credit Suisse;XS1567762460;0.0357
Citi Bank;XS1575008724;0.0361
Citi Bank;XS1575011868;0.0143
COMMERZBANK_BGC;XS1607218390;0.0373
COMMERZBANK_BGC;XS1607217749;0.0145
Citi Bank;XS1574960859;0.0366
Citi Bank;XS1574961154;0.0144
Goldman Sachs;XS1549569488;0.0366
Goldman Sachs;XS1549569488;0.0366
Goldman Sachs;XS1549569215;0.015
Credit Suisse;XS1605293692;0.03715
Credit Suisse;XS1605299111;0.01475
