Date;XS1567448912;XS1431271763
15.05.2017;0.076;0.0833
12.05.2017;0.0751;0.083
11.05.2017;0.076;0.0832
10.05.2017;0.0767;0.0834
09.05.2017;0.0754;0.0853
08.05.2017;0.0768;0.0839
05.05.2017;0.08;0.0851
04.05.2017;0.0782;0.0831
03.05.2017;0.0781;0.0829
02.05.2017;0.0794;0.0815
01.05.2017;0.0755;0.0801
28.04.2017;0.0753;0.08
27.04.2017;0.0764;0.0804
26.04.2017;0.07695;0.0828
25.04.2017;0.0775;0.0839
24.04.2017;0.0738;0.079
21.04.2017;0.0711;0.0757
20.04.2017;0.0713;0.0783
19.04.2017;0.0689;0.0753
18.04.2017;0.0689;0.074
17.04.2017;0.068;0.0743
14.04.2017;0.0683;0.0731
13.04.2017;0.0682;0.0732
12.04.2017;0.0697;0.0759
11.04.2017;0.0711;0.0755
10.04.2017;0.0678;0.0743
07.04.2017;0.069;0.0753
06.04.2017;0.0697;0.0757
05.04.2017;0.0683;0.0752
04.04.2017;0.0694;0.0752
03.04.2017;0.0705;0.0777
31.03.2017;0.0703;0.0777
30.03.2017;0.0695;0.0779
29.03.2017;0.067;0.0765
28.03.2017;0.0689;0.0778
27.03.2017;0.068;0.0767
24.03.2017;0.0691;0.077
23.03.2017;0.0693;0.0769
22.03.2017;0.0681;0.077
21.03.2017;0.0681;0.0768
